t,mean_abs_error_y,mean_abs_error_Z_S,mean_rel_error_Z_S,mean_rel_error_Z_S_legacy,mean_abs_error_Z_H,mean_rel_error_Z_H,mean_rel_error_Z_H_legacy,mean_abs_error_Z_V,mean_rel_error_Z_V,mean_rel_error_Z_V_legacy,mean_abs_error_Z_X,mean_rel_error_Z_X,mean_rel_error_Z_X_legacy
5.97499942779541,0.3920327425003052,0.8037237524986267,0.3566336929798126,0.3566336929798126,0.0500602200627327,0.0,5006026.0,0.08274330943822861,0.1595761626958847,0.1595761626958847,0.0,0.0,0.0
5.999999523162842,0.38409173488616943,0.8031112551689148,0.31158268451690674,0.31158268451690674,0.049735575914382935,0.0,4973563.0,0.08309731632471085,0.16334198415279388,0.16334198415279388,0.0,0.0,0.0
6.025000095367432,0.3829350173473358,0.7815563082695007,0.3726506233215332,0.3726506233215332,0.050970982760190964,0.0,5097103.0,0.08560027927160263,0.1140512153506279,0.1140512153506279,0.0,0.0,0.0
6.050000190734863,0.39184778928756714,0.7863409519195557,0.33188706636428833,0.33188706636428833,0.051493920385837555,0.0,5149397.0,0.08487826585769653,0.09755758941173553,0.09755758941173553,0.0,0.0,0.0
6.074999809265137,0.38671138882637024,0.7780421376228333,0.5142441987991333,0.5142441987991333,0.05204650014638901,0.0,5204639.0,0.08487559109926224,0.11057448387145996,0.11057448387145996,0.0,0.0,0.0
6.099999904632568,0.38914600014686584,0.7850974798202515,0.5504837036132812,0.5504837036132812,0.051887571811676025,0.0,5188750.0,0.08501241356134415,0.31178876757621765,0.31178876757621765,0.0,0.0,0.0
6.125,0.39050909876823425,0.7948468923568726,2.0802488327026367,2.0802488327026367,0.05213502049446106,0.0,5213511.0,0.08485440909862518,0.147137850522995,0.147137850522995,0.0,0.0,0.0
6.150000095367432,0.39337795972824097,0.8073484301567078,0.44042423367500305,0.44042423367500305,0.052679553627967834,0.0,5267954.5,0.08518093079328537,0.13247470557689667,0.13247470557689667,0.0,0.0,0.0
6.175000190734863,0.38969212770462036,0.7904388904571533,0.46910375356674194,0.46910375356674194,0.05262197554111481,0.0,5262194.5,0.08515721559524536,0.10653073340654373,0.10653073340654373,0.0,0.0,0.0
6.199999809265137,0.3867802619934082,0.7840988636016846,0.3649789094924927,0.3649789094924927,0.05210203677415848,0.0,5210195.5,0.08409418910741806,0.13465769588947296,0.13465769588947296,0.0,0.0,0.0
