t,mean_abs_error_y,mean_abs_error_Z_S,mean_rel_error_Z_S,mean_abs_error_Z_H,mean_rel_error_Z_H,mean_abs_error_Z_V,mean_rel_error_Z_V,mean_abs_error_Z_X,mean_rel_error_Z_X
2.3999996185302734,152.41427612304688,1.254220962524414,0.46857330203056335,0.02597186341881752,2597189.5,0.6583861112594604,0.4175018072128296,0.0,0.0
2.5199995040893555,152.32327270507812,1.2940740585327148,0.5119547247886658,0.025876838713884354,2587681.0,0.6525014638900757,0.757826030254364,0.0,0.0
2.6399993896484375,152.2532196044922,1.2787482738494873,0.43272534012794495,0.024434227496385574,2443423.25,0.6394400000572205,0.5036188364028931,0.0,0.0
2.7599992752075195,152.17529296875,1.290033221244812,0.6294508576393127,0.023785406723618507,2378539.75,0.6298136711120605,0.41333138942718506,0.0,0.0
2.8799991607666016,152.10357666015625,1.290919542312622,0.7107646465301514,0.023250026628375053,2325002.25,0.6249125599861145,0.36602216958999634,0.0,0.0
2.9999990463256836,152.0535888671875,1.2586086988449097,0.46891599893569946,0.02211163379251957,2211163.25,0.6212008595466614,0.40226972103118896,0.0,0.0
3.1199989318847656,151.9662628173828,1.2836458683013916,0.4414612054824829,0.02186243236064911,2186244.75,0.6063076853752136,0.7819199562072754,0.0,0.0
3.2399988174438477,151.88963317871094,1.298065423965454,0.42425182461738586,0.021662522107362747,2166252.5,0.6001989841461182,0.6372377276420593,0.0,0.0
3.3599987030029297,151.83937072753906,1.2880127429962158,0.5751773715019226,0.02140328846871853,2140329.25,0.593425452709198,0.39593541622161865,0.0,0.0
3.4799985885620117,151.8272705078125,1.2012770175933838,0.46070703864097595,0.02000628598034382,2000628.875,0.5925768613815308,0.4490741789340973,0.0,0.0
3.5999984741210938,151.77090454101562,1.2029036283493042,0.3999311625957489,0.019708173349499702,1970818.125,0.5836649537086487,0.417397677898407,0.0,0.0
3.719998359680176,151.73895263671875,1.1524109840393066,0.3572200834751129,0.01943695731461048,1943697.0,0.5856900215148926,0.41408923268318176,0.0,0.0
3.839998245239258,151.69650268554688,1.1451568603515625,0.5982459783554077,0.01951487921178341,1951488.25,0.5817481279373169,0.44217434525489807,0.0,0.0
3.95999813079834,151.6265106201172,1.1394362449645996,0.5254004001617432,0.01971164532005787,1971165.5,0.5772619843482971,0.4200921654701233,0.0,0.0
4.079998016357422,151.5664520263672,1.1341469287872314,0.2624129056930542,0.019670093432068825,1967009.625,0.5740172863006592,2.608898878097534,0.0,0.0
4.199997901916504,151.46548461914062,1.1742818355560303,0.29815125465393066,0.01993417739868164,1993414.625,0.572665274143219,0.7079078555107117,0.0,0.0
4.319997787475586,151.3749542236328,1.1945525407791138,0.27858200669288635,0.019365698099136353,1936568.75,0.5707578063011169,0.49450212717056274,0.0,0.0
4.439997673034668,151.29513549804688,1.2269130945205688,0.3170424699783325,0.019673965871334076,1967397.75,0.5662291049957275,0.37863636016845703,0.0,0.0
4.55999755859375,151.236572265625,1.2080044746398926,0.35887935757637024,0.019403381273150444,1940340.75,0.565571129322052,0.33421123027801514,0.0,0.0
4.679997444152832,151.14627075195312,1.2212164402008057,0.5639335513114929,0.019703932106494904,1970394.0,0.5565009713172913,0.3419465124607086,0.0,0.0
4.799997329711914,151.06056213378906,1.2357908487319946,0.27903735637664795,0.01941751129925251,1941751.0,0.5485179424285889,0.44003644585609436,0.0,0.0
4.919997215270996,150.99880981445312,1.2353014945983887,0.2950980067253113,0.019541386514902115,1954137.625,0.5515163540840149,0.45621106028556824,0.0,0.0
5.039997100830078,150.92852783203125,1.1981772184371948,0.3580210506916046,0.020141476765275,2014149.625,0.5455716848373413,0.3689572811126709,0.0,0.0
5.15999698638916,150.86509704589844,1.1780142784118652,0.4901914894580841,0.020779140293598175,2077914.875,0.5441843867301941,0.3162660300731659,0.0,0.0
5.279996871948242,150.7823944091797,1.1876356601715088,0.2795439660549164,0.021050548180937767,2105055.25,0.5406450629234314,0.43880602717399597,0.0,0.0
5.399996757507324,150.72328186035156,1.1873548030853271,0.5014004707336426,0.020320413634181023,2032041.625,0.5344388484954834,0.311646044254303,0.0,0.0
5.519996643066406,150.64614868164062,1.2086772918701172,0.33432096242904663,0.01968671940267086,1968671.875,0.5250622630119324,0.30042269825935364,0.0,0.0
5.639996528625488,150.6156768798828,1.178952693939209,0.2605695426464081,0.019697098061442375,1969707.625,0.5233073830604553,0.3507424592971802,0.0,0.0
5.75999641418457,150.54837036132812,1.1730854511260986,0.2831609845161438,0.019296063110232353,1929605.375,0.5215358138084412,0.35312074422836304,0.0,0.0
5.879996299743652,150.4759521484375,1.172082543373108,0.3098223805427551,0.020319126546382904,2031913.75,0.5164269208908081,0.7820165157318115,0.0,0.0
